date,ticker,open,high,low,close,volume,daily_return,log_return
2019-02-24,AAPL,161.43,163.35,160.81,163.32,29957134,0.010729,0.010729
2019-02-27,AAPL,163.1,169.07,162.94,168.95,26546559,0.033914,0.033914
2019-02-28,AAPL,168.81,169.23,168.1,169.16,40012338,0.001237,0.001237
2019-03-01,AAPL,170.05,170.39,168.69,168.79,45824710,-0.002205,-0.002205
2019-03-02,AAPL,168.03,168.21,166.49,166.65,33466700,-0.012746,-0.012746
2019-03-03,AAPL,166.52,170.5,166.38,169.96,36201113,0.019656,0.019656
2019-03-06,AAPL,168.96,171.21,168.49,171.2,40632740,0.007285,0.007285
2019-03-07,AAPL,171.36,173.13,171.07,172.7,30234579,0.008725,0.008725
2019-03-08,AAPL,173.0,174.23,172.6,174.06,26111090,0.007848,0.007848
2019-03-09,AAPL,174.4,175.2,171.0,171.12,32249391,-0.017055,-0.017055
2019-03-10,AAPL,171.16,175.47,171.02,175.12,26277980,0.02313,0.02313
2019-03-13,AAPL,175.93,176.28,173.24,173.41,46651344,-0.009816,-0.009816
2019-03-14,AAPL,173.74,173.84,173.3,173.38,41580856,-0.000185,-0.000185
2019-03-15,AAPL,172.65,177.54,172.5,177.4,33915916,0.022899,0.022899
2019-03-16,AAPL,176.2,176.87,173.87,173.9,29483984,-0.019927,-0.019927
2019-03-17,AAPL,173.49,175.28,172.79,174.85,31645936,0.005478,0.005478
2019-03-20,AAPL,175.37,176.16,175.31,175.88,36746304,0.005851,0.005851
2019-03-21,AAPL,175.53,175.75,175.32,175.57,19171316,-0.001746,-0.001746
2019-03-22,AAPL,175.7,176.16,175.45,176.04,31859019,0.002645,0.002645
2019-03-23,AAPL,176.06,180.87,175.85,180.68,29651217,0.026053,0.026053
2019-03-24,AAPL,180.61,180.64,176.69,177.34,34717368,-0.018671,-0.018671
2019-03-27,AAPL,176.96,180.41,176.56,180.17,31559803,0.01581,0.01581
2019-03-28,AAPL,179.75,182.08,179.55,181.36,20486358,0.006581,0.006581
2019-03-29,AAPL,181.13,182.92,180.97,182.92,31952663,0.008593,0.008593
2019-03-30,AAPL,182.29,182.57,177.0,177.46,39515764,-0.030287,-0.030287
2019-03-31,AAPL,176.37,182.66,175.69,182.38,38068003,0.027348,0.027348
2019-04-03,AAPL,181.76,183.87,181.53,183.13,20544255,0.0041,0.0041
2019-04-04,AAPL,182.73,184.04,182.56,184.0,36867469,0.004702,0.004702
2019-04-05,AAPL,184.17,184.84,179.87,180.16,31053243,-0.021049,-0.021049
2019-04-06,AAPL,179.79,181.0,179.76,180.77,25281162,0.00333,0.00333
2019-04-07,AAPL,181.19,185.72,180.96,185.66,26078186,0.02673,0.02673
2019-04-10,AAPL,185.58,189.35,185.51,189.18,33082047,0.018764,0.018764
2019-04-11,AAPL,189.61,189.68,188.59,188.91,33361920,-0.00144,-0.00144
2019-04-12,AAPL,188.42,188.99,188.14,188.63,25077561,-0.001449,-0.001449
2019-04-13,AAPL,188.61,191.76,187.75,191.16,30121112,0.013287,0.013287
2019-04-14,AAPL,190.94,190.97,186.27,186.82,28747533,-0.02292,-0.02292
2019-04-17,AAPL,186.57,187.98,186.28,187.69,38933418,0.004604,0.004604
2019-04-18,AAPL,187.22,187.43,186.86,187.29,26576559,-0.002095,-0.002095
2019-04-19,AAPL,187.7,188.99,187.18,188.71,27247590,0.007528,0.007528
2019-04-20,AAPL,188.26,192.15,187.81,192.0,34111877,0.017291,0.017291
2019-04-21,AAPL,191.31,192.28,191.07,192.06,25380575,0.000331,0.000331
2019-04-24,AAPL,192.21,193.02,190.13,190.26,30869548,-0.009422,-0.009422
2019-04-25,AAPL,190.85,191.09,188.43,188.66,26649916,-0.008468,-0.008468
2019-04-26,AAPL,187.8,190.82,187.56,190.69,30349387,0.010727,0.010727
2019-04-27,AAPL,190.71,191.79,190.63,191.36,28425038,0.003467,0.003467
2019-04-28,AAPL,191.77,191.97,187.42,187.97,26262725,-0.017863,-0.017863
2019-05-01,AAPL,187.93,188.13,187.93,188.1,21427302,0.000696,0.000696
2019-05-02,AAPL,188.47,190.93,187.62,190.5,28405164,0.012675,0.012675
2019-05-03,AAPL,190.5,191.24,189.79,190.45,32428839,-0.000242,-0.000242
2019-05-04,AAPL,188.98,189.74,185.84,186.35,35345127,-0.021762,-0.021762
2019-05-05,AAPL,186.22,186.66,183.77,184.0,24490192,-0.012725,-0.012725
2019-05-08,AAPL,183.45,188.01,183.4,187.72,30123556,0.020065,0.020065
2019-05-09,AAPL,187.79,192.3,187.58,191.84,27136080,0.02167,0.02167
2019-05-10,AAPL,192.06,194.04,191.72,193.99,27357517,0.011176,0.011176
2019-05-11,AAPL,194.1,194.69,193.62,193.66,28246005,-0.001744,-0.001744
2019-05-12,AAPL,194.05,194.28,190.57,190.7,20491950,-0.015388,-0.015388
2019-05-15,AAPL,189.94,194.07,189.53,193.76,23327646,0.015948,0.015948
2019-05-16,AAPL,193.81,194.19,193.07,193.59,37493891,-0.000892,-0.000892
2019-05-17,AAPL,192.75,193.06,187.52,188.01,28056813,-0.029274,-0.029274
2019-05-18,AAPL,188.4,188.51,188.36,188.43,26116335,0.002243,0.002243
2019-05-19,AAPL,188.15,192.3,187.96,192.17,30531617,0.019685,0.019685
2019-05-22,AAPL,192.08,192.47,191.44,191.75,37070212,-0.002222,-0.002222
2019-05-23,AAPL,192.17,192.83,191.81,192.51,31516783,0.003947,0.003947
2019-05-24,AAPL,193.0,193.2,192.63,193.18,30119241,0.003484,0.003484
2019-05-25,AAPL,193.17,193.33,187.37,187.84,30756386,-0.028026,-0.028026
2019-05-26,AAPL,187.84,190.92,187.31,190.53,25151328,0.014222,0.014222
2019-05-29,AAPL,190.89,190.97,186.51,186.72,30367157,-0.020192,-0.020192
2019-05-30,AAPL,187.31,189.97,187.21,189.72,27335857,0.015961,0.015961
2019-05-31,AAPL,190.11,190.56,185.22,185.22,27534038,-0.02402,-0.02402
2019-06-01,AAPL,183.92,188.4,183.87,188.33,27145714,0.016664,0.016664
2019-06-02,AAPL,188.88,192.47,188.85,192.36,28059880,0.021174,0.021174
2019-06-05,AAPL,191.61,192.14,190.56,190.95,33990831,-0.007382,-0.007382
2019-06-06,AAPL,192.14,192.9,187.83,187.9,25478896,-0.016115,-0.016115
2019-06-07,AAPL,188.13,188.48,185.51,185.53,35443223,-0.012696,-0.012696
2019-06-08,AAPL,186.64,187.23,180.99,181.43,22931793,-0.022302,-0.022302
2019-06-09,AAPL,180.87,180.97,179.79,180.72,28856489,-0.003951,-0.003951
2019-06-12,AAPL,180.11,185.83,179.58,185.73,33191187,0.027343,0.027343
2019-06-13,AAPL,186.81,186.89,185.02,185.16,32751362,-0.00308,-0.00308
2019-06-14,AAPL,184.41,184.53,183.75,183.81,30831575,-0.007293,-0.007293
2019-06-15,AAPL,183.53,185.06,182.89,184.91,24461002,0.005932,0.005932
2019-06-16,AAPL,184.77,190.14,183.87,189.85,30775108,0.026361,0.026361
2019-06-19,AAPL,190.31,194.5,190.26,193.85,27373401,0.020856,0.020856
2019-06-20,AAPL,192.82,192.86,189.82,190.04,31953340,-0.019827,-0.019827
2019-06-21,AAPL,189.59,189.96,189.02,189.23,24834723,-0.004287,-0.004287
2019-06-22,AAPL,189.21,189.55,188.62,188.71,26198399,-0.002749,-0.002749
2019-06-23,AAPL,189.0,189.06,188.57,188.75,21739927,0.000233,0.000233
2019-06-26,AAPL,188.91,189.15,187.14,187.74,30795891,-0.00538,-0.00538
2019-06-27,AAPL,187.64,191.26,187.47,191.22,31235590,0.018396,0.018396
2019-06-28,AAPL,191.27,193.29,190.97,193.23,29147810,0.01042,0.01042
2019-06-29,AAPL,193.11,197.02,192.92,196.95,33935929,0.019097,0.019097
2019-06-30,AAPL,197.49,197.86,194.09,194.5,31029697,-0.01252,-0.01252
2019-07-03,AAPL,194.68,195.36,194.52,194.94,32214967,0.002253,0.002253
2019-07-04,AAPL,195.68,195.93,192.15,192.36,30939392,-0.013347,-0.013347
2019-07-05,AAPL,192.17,192.36,190.15,190.16,30618723,-0.011484,-0.011484
2019-07-06,AAPL,190.26,190.53,185.97,186.38,29226573,-0.020097,-0.020097
2019-07-07,AAPL,186.77,187.09,181.29,181.31,25031089,-0.027548,-0.027548
2019-07-10,AAPL,181.23,182.11,178.75,178.81,33322160,-0.013881,-0.013881
2019-07-11,AAPL,178.55,178.61,177.91,178.03,35470758,-0.004378,-0.004378
2019-07-12,AAPL,177.66,178.3,177.6,178.13,37781001,0.000576,0.000576
2019-07-13,AAPL,177.57,177.88,176.59,177.33,31648969,-0.004504,-0.004504
2019-07-14,AAPL,176.68,177.38,173.41,173.8,32842072,-0.02012,-0.02012
2019-07-17,AAPL,172.89,172.95,170.35,170.47,32160950,-0.01937,-0.01937
2019-07-18,AAPL,170.46,172.87,170.42,172.42,32501297,0.011408,0.011408
2019-07-19,AAPL,171.68,172.06,170.83,170.97,27953849,-0.008445,-0.008445
2019-07-20,AAPL,171.5,171.59,170.95,171.07,33410666,0.000539,0.000539
2019-07-21,AAPL,171.78,176.96,171.39,176.72,48760293,0.032505,0.032505
2019-07-24,AAPL,176.52,176.77,173.06,173.62,32101200,-0.01768,-0.01768
2019-07-25,AAPL,173.76,173.95,169.89,169.99,23899051,-0.021107,-0.021107
2019-07-26,AAPL,169.77,169.78,168.03,168.21,33676102,-0.010576,-0.010576
2019-07-27,AAPL,167.33,167.58,165.43,165.88,27134218,-0.013949,-0.013949
2019-07-28,AAPL,166.12,172.26,165.84,171.86,31216862,0.035412,0.035412
2019-07-31,AAPL,173.08,173.42,168.67,168.9,37300649,-0.017365,-0.017365
2019-08-01,AAPL,168.39,168.76,168.27,168.67,34378760,-0.001338,-0.001338
2019-08-02,AAPL,167.96,168.88,167.74,168.87,19083820,0.001151,0.001151
2019-08-03,AAPL,168.14,168.34,166.51,167.16,39293768,-0.010163,-0.010163
2019-08-04,AAPL,166.92,167.15,165.42,165.78,27906307,-0.008298,-0.008298
2019-08-07,AAPL,166.87,166.91,165.31,165.47,30599569,-0.00184,-0.00184
2019-08-08,AAPL,164.96,167.05,164.58,166.97,28608682,0.008996,0.008996
2019-08-09,AAPL,167.34,171.82,167.03,171.79,28442960,0.028454,0.028454
2019-08-10,AAPL,171.5,175.07,171.03,174.57,28549768,0.016061,0.016061
2019-08-11,AAPL,173.52,179.67,172.87,179.25,29549600,0.026441,0.026441
2019-08-14,AAPL,179.69,180.82,178.15,178.84,27169918,-0.002288,-0.002288
2019-08-15,AAPL,178.36,179.07,177.93,178.99,27993635,0.000853,0.000853
2019-08-16,AAPL,179.12,179.33,176.28,176.78,26717907,-0.012401,-0.012401
2019-08-17,AAPL,176.81,176.91,175.98,175.99,22189106,-0.00447,-0.00447
2019-08-18,AAPL,175.51,177.37,174.95,177.03,35805008,0.005876,0.005876
2019-08-21,AAPL,177.64,177.74,176.11,176.71,24581517,-0.001809,-0.001809
2019-08-22,AAPL,176.3,179.17,176.24,178.78,29115164,0.011669,0.011669
2019-08-23,AAPL,178.61,178.78,175.23,176.14,32513317,-0.014878,-0.014878
2019-08-24,AAPL,176.83,177.24,173.52,174.07,35938119,-0.011871,-0.011871
2019-08-25,AAPL,173.73,173.94,169.92,170.03,21722640,-0.023476,-0.023476
2019-08-28,AAPL,169.93,171.0,169.73,170.56,45178571,0.003121,0.003121
2019-08-29,AAPL,170.55,170.91,166.07,166.45,34109189,-0.024388,-0.024388
2019-08-30,AAPL,166.06,168.64,165.39,168.39,38547500,0.011611,0.011611
2019-08-31,AAPL,168.26,170.05,168.01,169.73,34876320,0.007923,0.007923
2019-09-01,AAPL,169.37,169.44,165.58,165.7,34786174,-0.024053,-0.024053
2019-09-04,AAPL,165.76,166.49,163.03,163.26,34352814,-0.01483,-0.01483
2019-09-05,AAPL,163.64,164.23,163.23,163.26,36119892,1.2e-05,1.2e-05
2019-09-06,AAPL,163.55,163.85,160.94,161.18,35490620,-0.012827,-0.012827
2019-09-07,AAPL,160.79,160.79,158.99,159.6,31545764,-0.009829,-0.009829
2019-09-08,AAPL,159.25,161.93,158.88,161.91,27144468,0.014337,0.014337
2019-09-11,AAPL,161.89,164.48,161.83,164.0,29010320,0.012835,0.012835
2019-09-12,AAPL,163.68,167.73,163.26,167.22,32070939,0.01945,0.01945
2019-09-13,AAPL,167.24,167.38,161.36,161.93,26355042,-0.032178,-0.032178
2019-09-14,AAPL,161.48,161.82,160.35,160.57,22820377,-0.008412,-0.008412
2019-09-15,AAPL,159.8,160.27,157.66,158.15,27394205,-0.015168,-0.015168
2019-09-18,AAPL,157.57,157.72,156.57,156.59,27840120,-0.009955,-0.009955
2019-09-19,AAPL,157.33,157.41,155.4,155.55,17069800,-0.00666,-0.00666
2019-09-20,AAPL,154.53,154.67,153.96,154.08,26628511,-0.009506,-0.009506
2019-09-21,AAPL,153.6,155.5,153.13,155.33,28691558,0.008079,0.008079
2019-09-22,AAPL,155.58,156.39,154.97,156.35,27927900,0.006597,0.006597
2019-09-25,AAPL,155.06,155.9,154.94,155.35,24119922,-0.006465,-0.006465
2019-09-26,AAPL,155.92,158.54,155.47,158.5,32094880,0.020114,0.020114
2019-09-27,AAPL,157.95,158.27,156.41,157.08,32835816,-0.009021,-0.009021
2019-09-28,AAPL,158.05,158.32,157.39,158.21,25819395,0.00719,0.00719
2019-09-29,AAPL,158.38,158.72,157.76,158.41,28350251,0.00127,0.00127
2019-10-02,AAPL,159.15,161.38,159.02,160.78,35488026,0.014848,0.014848
2019-10-03,AAPL,161.36,165.25,161.09,165.01,26050578,0.025976,0.025976
2019-10-04,AAPL,165.5,165.62,161.51,161.52,27106399,-0.021409,-0.021409
2019-10-05,AAPL,161.63,161.96,160.6,160.62,31230274,-0.005594,-0.005594
2019-10-06,AAPL,160.26,160.73,159.66,160.48,26993785,-0.00086,-0.00086
2019-10-09,AAPL,160.91,164.4,160.66,163.53,26820798,0.018817,0.018817
2019-10-10,AAPL,163.62,165.66,163.41,165.51,25505416,0.012027,0.012027
2019-10-11,AAPL,164.9,164.96,163.67,163.71,30856026,-0.010898,-0.010898
2019-10-12,AAPL,164.16,164.46,161.48,161.98,33556539,-0.01061,-0.01061
2019-10-13,AAPL,162.31,162.68,162.1,162.49,36446926,0.003083,0.003083
2019-10-16,AAPL,163.45,166.79,163.34,166.78,32081794,0.026078,0.026078
2019-10-17,AAPL,167.09,167.13,166.76,166.82,38794910,0.000262,0.000262
2019-10-18,AAPL,166.86,167.58,166.81,167.28,31458111,0.002771,0.002771
2019-10-19,AAPL,166.67,167.19,166.29,167.18,31050756,-0.000653,-0.000653
2019-10-20,AAPL,167.64,167.89,164.2,164.29,29499330,-0.017422,-0.017422
2019-10-23,AAPL,163.32,165.73,163.27,165.37,31726297,0.006545,0.006545
2019-10-24,AAPL,164.87,165.26,164.72,165.22,24657014,-0.000891,-0.000891
2019-10-25,AAPL,165.12,166.49,164.9,166.09,33673356,0.005243,0.005243
2019-10-26,AAPL,165.67,167.25,165.18,166.94,44395062,0.005125,0.005125
2019-10-27,AAPL,166.84,166.96,164.22,164.31,27079747,-0.015892,-0.015892
2019-10-30,AAPL,163.82,164.27,159.78,159.82,26579002,-0.027725,-0.027725
2019-10-31,AAPL,159.92,160.11,157.93,158.22,28069101,-0.010008,-0.010008
2019-11-01,AAPL,157.6,159.02,157.47,158.81,32043790,0.003677,0.003677
2019-11-02,AAPL,158.73,159.71,158.6,159.64,36730548,0.00525,0.00525
2019-11-03,AAPL,159.87,162.33,159.52,161.95,26680692,0.014314,0.014314
2019-11-06,AAPL,162.16,162.45,161.02,161.4,30017974,-0.003375,-0.003375
2019-11-07,AAPL,161.17,162.0,156.41,156.65,27254360,-0.029892,-0.029892
2019-11-08,AAPL,156.49,156.62,155.08,155.27,37512484,-0.008856,-0.008856
2019-11-09,AAPL,154.73,158.57,154.23,158.17,25926939,0.018524,0.018524
2019-11-10,AAPL,157.11,162.06,156.71,161.88,29279999,0.023178,0.023178
2019-11-13,AAPL,162.7,162.97,161.47,161.49,33135099,-0.002403,-0.002403
2019-11-14,AAPL,161.09,161.11,160.9,160.93,34420277,-0.003477,-0.003477
2019-11-15,AAPL,160.71,160.82,158.66,158.72,29073598,-0.013846,-0.013846
2019-11-16,AAPL,158.38,158.98,158.24,158.72,24524499,4.5e-05,4.5e-05
2019-11-17,AAPL,158.83,161.98,158.74,161.57,30836392,0.017781,0.017781
2019-11-20,AAPL,162.13,163.6,161.9,163.48,26970092,0.011732,0.011732
2019-11-21,AAPL,163.11,163.2,161.13,161.14,27543214,-0.014416,-0.014416
2019-11-22,AAPL,161.31,161.47,159.08,159.41,29241625,-0.010774,-0.010774
2019-11-23,AAPL,158.9,159.16,158.56,158.83,30204468,-0.003667,-0.003667
2019-11-24,AAPL,159.08,159.2,158.79,159.19,38280042,0.002266,0.002266
2019-11-27,AAPL,159.4,159.71,159.29,159.43,24358477,0.001507,0.001507
2019-11-28,AAPL,158.68,162.24,158.4,161.66,30938455,0.01389,0.01389
2019-11-29,AAPL,162.51,162.81,161.45,161.83,27009320,0.001066,0.001066
2019-11-30,AAPL,161.34,161.39,161.2,161.24,25930714,-0.003627,-0.003627
2019-12-01,AAPL,160.57,165.64,160.45,165.22,28962585,0.024346,0.024346
2019-12-04,AAPL,164.91,166.65,164.7,166.31,26582023,0.006566,0.006566
2019-12-05,AAPL,166.07,167.93,165.87,167.67,35202981,0.008175,0.008175
2019-12-06,AAPL,168.07,170.26,167.89,170.0,28690579,0.013811,0.013811
2019-12-07,AAPL,170.15,170.38,165.32,165.45,32637420,-0.027152,-0.027152
2019-12-08,AAPL,164.95,165.06,162.01,162.18,30835100,-0.019981,-0.019981
2019-12-11,AAPL,162.2,162.75,158.75,159.44,33583318,-0.017031,-0.017031
2019-12-12,AAPL,159.17,159.62,155.95,156.39,28005717,-0.01928,-0.01928
2019-12-13,AAPL,156.85,156.99,155.4,155.48,33788417,-0.005852,-0.005852
2019-12-14,AAPL,155.67,158.28,155.35,158.15,38842608,0.017048,0.017048
2019-12-15,AAPL,158.99,160.07,158.72,159.78,24549067,0.010208,0.010208
2019-12-18,AAPL,159.75,160.29,156.99,157.18,34336686,-0.016403,-0.016403
2019-12-19,AAPL,157.43,157.85,155.51,155.66,35117202,-0.009677,-0.009677
2019-12-20,AAPL,155.8,156.73,155.39,156.2,25615715,0.003428,0.003428
2019-12-21,AAPL,155.91,159.37,155.9,159.36,35365201,0.020068,0.020068
2019-12-22,AAPL,159.58,159.75,156.48,156.73,28948071,-0.016639,-0.016639
2019-12-25,AAPL,156.4,159.52,156.29,159.16,22999585,0.015351,0.015351
2019-12-26,AAPL,159.24,160.3,159.01,160.18,28799035,0.006419,0.006419
2019-12-27,AAPL,161.0,161.36,156.6,156.8,35724495,-0.021332,-0.021332
2019-12-28,AAPL,157.14,158.71,157.04,158.23,24767525,0.009075,0.009075
2019-12-29,AAPL,158.61,160.4,158.21,160.3,36195752,0.012964,0.012964
2020-01-01,AAPL,159.64,161.99,159.18,161.74,27586847,0.008938,0.008938
2020-01-02,AAPL,161.43,161.7,158.89,159.08,33621319,-0.01655,-0.01655
2020-01-03,AAPL,159.38,160.18,159.26,159.83,30399473,0.004719,0.004719
2020-01-04,AAPL,160.65,161.47,160.21,161.18,35094823,0.008372,0.008372
2020-01-05,AAPL,160.31,164.09,160.25,163.8,30271071,0.016159,0.016159
2020-01-08,AAPL,163.59,163.73,162.29,162.56,22511071,-0.007609,-0.007609
2020-01-09,AAPL,162.29,163.45,162.16,163.14,28356410,0.003572,0.003572
2020-01-10,AAPL,162.77,162.86,161.58,161.59,24541798,-0.009586,-0.009586
2020-01-11,AAPL,161.5,161.63,159.27,159.61,32440532,-0.012315,-0.012315
2020-01-12,AAPL,160.92,161.22,157.45,157.7,30970016,-0.01206,-0.01206
2020-01-15,AAPL,158.09,158.66,155.5,155.62,30863855,-0.013236,-0.013236
2020-01-16,AAPL,155.62,156.07,154.19,154.46,25478875,-0.007466,-0.007466
2020-01-17,AAPL,155.0,158.29,154.8,158.14,30328537,0.023489,0.023489
2020-01-18,AAPL,158.36,158.46,155.61,156.31,34631015,-0.011632,-0.011632
2020-01-19,AAPL,156.81,156.86,156.74,156.8,35576630,0.003172,0.003172
2020-01-22,AAPL,156.94,158.78,156.89,157.77,30845928,0.006117,0.006117
2020-01-23,AAPL,157.38,162.31,156.93,161.97,32668312,0.02631,0.02631
2020-01-24,AAPL,162.33,163.99,162.01,163.55,35986329,0.009684,0.009684
2020-01-25,AAPL,163.56,163.78,163.24,163.36,33209848,-0.00116,-0.00116
2020-01-26,AAPL,163.27,163.67,160.56,160.77,32651082,-0.015991,-0.015991
2020-01-29,AAPL,160.91,161.41,160.3,160.58,27663644,-0.001182,-0.001182
2020-01-30,AAPL,161.11,161.36,160.55,160.94,30620376,0.002236,0.002236
2020-01-31,AAPL,161.2,161.61,160.86,161.05,30307547,0.000723,0.000723
2020-02-01,AAPL,160.95,163.74,160.83,163.62,29703161,0.015844,0.015844
2020-02-02,AAPL,163.53,163.94,160.79,160.82,25647700,-0.01731,-0.01731
2020-02-05,AAPL,159.92,163.29,159.92,162.6,30904626,0.011039,0.011039
2020-02-06,AAPL,162.17,163.24,161.71,163.19,31097811,0.003606,0.003606
2020-02-07,AAPL,163.12,163.2,158.77,159.33,27387485,-0.02393,-0.02393
2020-02-08,AAPL,160.07,161.76,159.96,161.27,23820253,0.012122,0.012122
2020-02-09,AAPL,162.05,162.26,157.85,158.1,31095138,-0.019879,-0.019879
2020-02-12,AAPL,158.19,160.39,157.99,159.68,15035091,0.009929,0.009929
2020-02-13,AAPL,159.32,159.39,159.03,159.03,26744285,-0.004053,-0.004053
2020-02-14,AAPL,159.68,159.87,156.3,156.51,33398248,-0.015974,-0.015974
2020-02-15,AAPL,157.11,158.49,156.86,158.15,26961058,0.010428,0.010428
2020-02-16,AAPL,158.06,161.7,158.05,160.96,21079187,0.017626,0.017626
2020-02-19,AAPL,160.94,161.06,160.01,160.49,24421355,-0.002957,-0.002957
2020-02-20,AAPL,160.37,160.78,158.29,158.52,27639023,-0.012369,-0.012369
2020-02-21,AAPL,157.87,161.84,157.81,161.62,31181623,0.019408,0.019408
2020-02-22,AAPL,161.29,163.49,161.29,163.23,42058994,0.009877,0.009877
2020-02-23,AAPL,163.85,164.06,162.15,162.53,36803111,-0.004264,-0.004264
2020-02-26,AAPL,161.44,161.72,159.67,160.02,30260128,-0.015606,-0.015606
2020-02-27,AAPL,160.78,161.0,159.23,159.44,33657664,-0.003615,-0.003615
2020-02-28,AAPL,159.17,159.5,155.85,156.54,24113537,-0.018349,-0.018349
2020-02-29,AAPL,156.02,159.66,155.66,159.48,34328036,0.018635,0.018635
2020-03-01,AAPL,159.72,159.75,159.16,159.53,25130286,0.000318,0.000318
2020-03-04,AAPL,159.51,161.85,158.5,161.6,35550543,0.012859,0.012859
2020-03-05,AAPL,162.65,162.82,160.44,160.45,33301888,-0.00711,-0.00711
2020-03-06,AAPL,160.87,161.08,158.0,158.41,33966031,-0.012837,-0.012837
2020-03-07,AAPL,158.06,159.7,157.97,159.64,19833286,0.007735,0.007735
2020-03-08,AAPL,160.09,160.49,157.96,158.37,26858424,-0.007976,-0.007976
2020-03-11,AAPL,157.82,159.34,157.68,159.19,35681869,0.005149,0.005149
2020-03-12,AAPL,159.79,162.57,159.39,162.5,36618825,0.020611,0.020611
2020-03-13,AAPL,162.29,162.53,159.26,159.4,37965326,-0.019262,-0.019262
2020-03-14,AAPL,158.59,159.53,158.54,159.44,28246954,0.000239,0.000239
2020-03-15,AAPL,159.32,163.37,159.17,162.9,24261573,0.021487,0.021487
2020-03-18,AAPL,163.03,167.63,162.68,167.16,41846232,0.025798,0.025798
2020-03-19,AAPL,167.61,167.77,162.2,162.26,31716642,-0.029761,-0.029761
2020-03-20,AAPL,161.92,163.97,161.48,163.51,39792816,0.007678,0.007678
2020-03-21,AAPL,162.93,167.35,162.46,167.35,27545027,0.023215,0.023215
2020-03-22,AAPL,167.15,167.54,166.79,166.99,29950872,-0.002136,-0.002136
2020-03-25,AAPL,166.89,168.69,166.44,168.4,22408717,0.008403,0.008403
2020-03-26,AAPL,167.53,167.78,165.4,165.5,30270476,-0.017397,-0.017397
2020-03-27,AAPL,164.99,165.32,163.05,163.51,23820612,-0.012099,-0.012099
2020-03-28,AAPL,162.82,165.32,162.62,165.32,42139722,0.011015,0.011015
